DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY,VALUE(USD),UNIT PRICE
04-06-2025,4097036348,84314990,Machinery and Mechanical Appliances,ORing FOR HYDR. ROTARY UNION 7-PORT (DTLS/INV ),INDIA,STEEL AUTHORITY OF INDIA LIMITED,KOLKATA SEA (INCCU1),GERMANY,TML TECHNIK GMBH,ANTWERPEN,SET,1,$686.26,$686.27
26/7/2025,4586071851,84799090,Machinery and Mechanical Appliances,KJC ROTARY JOINT KR6314-12-R,INDIA,QUANTIC TECHNIEX PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),SOUTH KOREA,KWANGJIN INDUSTRIAL,SEOUL,NOS,21,"$3,415.31",$162.63
28-08-2024,1042850949,84314990,Machinery and Mechanical Appliances,(PART NO: 332/W1660) GIUNTO ROTANTE 10 VIE 60 A-794-10 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,80,"$18,836.97",$235.46
13-08-2024,1043712005,84314990,Machinery and Mechanical Appliances,(PART NO: 332/W1660) GIUNTO ROTANTE 10 VIE 60 A-794-10 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,23,"$5,363.76",$233.21
28-08-2024,1042850946,84314990,Machinery and Mechanical Appliances,(PART NO: 332/W1660) GIUNTO ROTANTE 10 VIE 60 A-794-10 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,95,"$22,368.90",$235.46
28-08-2024,1042850945,84314990,Machinery and Mechanical Appliances,(PART NO: 332/W1660) GIUNTO ROTANTE 10 VIE 60 A-794-10 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,20,"$4,709.24",$235.46
17-12-2024,6978966078,84314920,Machinery and Mechanical Appliances,1085610 GIUNTO ROTANTE 15 VIE 124 A-856-10(AS PER INV)CRANEPARTS1085610 GIUNTO ROTANTE 15 VIE 124 A-856-10(AS PER INV)CRANE,INDIA,TIL LIMITED,KOLKATA AIR CARGO (INCCU4),ITALY,ALA OFFICINE SPA,MILAN,NOS,7,"$11,375.53","$1,625.08"
02-09-2024,7993247627,84879000,Machinery and Mechanical Appliances,1K-ROTARY UNION 1K-GD\9525002130 ( QTY 5 NOS),INDIA,OTT-JAKOB CLAMPING TECHNOLOGIES INDIA PRIVATE LIMI,AHMEDABAD (INAMD4),GERMANY,OTT JAKOB ,FRANKFURT AM MAIN,NOS,5,"$6,549.01","$1,309.80"
20-02-2025,0653608002,84879000,Machinery and Mechanical Appliances,ROTARY UNION\ 1K-GD-044\ 9525002720 ( QTY 3 NOS),INDIA,OTT-JAKOB CLAMPING TECHNOLOGIES INDIA PRIVATE LIMI,AHMEDABAD (INAMD4),GERMANY,OTT JAKOB SPANNTECHNIK GMBH,FRANKFURT AM MAIN,NOS,3,"$3,300.97","$1,100.32"
19-12-2024,6978982288,84879000,Machinery and Mechanical Appliances,ROTARY UNION 1K-GD-044 \ 9525002720 ( QTY 1 NOS) ROTARY UNION 1K-GD-044 \ 9525002720 ( QTY 1 NOS),INDIA,OTT-JAKOB CLAMPING TECHNOLOGIES INDIA PRIVATE LIMI,AHMEDABAD (INAMD4),GERMANY,OTT JAKOB ,FRANKFURT AM MAIN,NOS,1,"$1,106.71","$1,106.72"
20-02-2025,0653607999,84879000,Machinery and Mechanical Appliances,ROTARY UNION \ 1K-GDR \ 9525002330 \ ( QTY 5 NOS),INDIA,OTT-JAKOB CLAMPING TECHNOLOGIES INDIA PRIVATE LIMITED,AHMEDABAD (INAMD4),GERMANY,OTT JAKOB SPANNTECHNIK GMBH,FRANKFURT AM MAIN,NOS,5,"$4,569.03",$913.81
14-08-2024,1046381055,84879000,Machinery and Mechanical Appliances,9525002510 ROTARY UNION 1K-GDR-A,INDIA,BHARAT FRITZ WERNER LIMITED,BANGLORE AIR CARGO (INBLR4),GERMANY,OTT JAKOB ,FRANKFURT AM MAIN,NOS,1,$908.51,$908.51
14-08-2024,1046381053,84879000,Machinery and Mechanical Appliances,9525002510 ROTARY UNION 1K-GDR-A,INDIA,BHARAT FRITZWERNER LIMITED,BANGLORE AIR CARGO (INBLR4),GERMANY,OTT JAKOB ,FRANKFURT AM MAIN,NOS,1,"$1,036.09","$1,036.09"
02-09-2024,7993267755,84879000,Machinery and Mechanical Appliances,ROTARY UNION 1K-GDR-A \ 9525002510 ( QTY 1 NOS),INDIA,OTT-JAKOB CLAMPINGTECHNOLOGIES INDIA PRIVATE LIMI,AHMEDABAD (INAMD4),GERMANY,OTT JAKOB ,FRANKFURT AM MAIN,NOS,1,$978.24,$978.25
02-09-2024,7993267914,84879000,Machinery and Mechanical Appliances,ROTARY UNION 1K-GD-RA-08 \ 9525003320 ( QTY 1 NOS),INDIA,OTTJAKOB CLAMPING TECHNOLOGIES INDIA PRIVATE LIMI,AHMEDABAD (INAMD4),GERMANY,OTT JAKOB ,FRANKFURT AM MAIN,NOS,1,"$1,300.09","$1,300.09"
06-09-2024,7991630016,84799090,Machinery and Mechanical Appliances,KJC ROTARY JOINT - 2-1KR6414-15-A,INDIA,QUANTIC TECHN.IEX PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),SOUTH KOREA,KWANGJIN,SEOUL,NOS,15,"$2,431.21",$162.08
06-09-2024,7991656659,84799090,Machinery and Mechanical Appliances,KJC ROTARY JOINT - 2-2KR6314-12-R,INDIA,QUANTIC TECHNIEX PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),SOUTH KOREA,KWANGJIN,SEOUL,NOS,10,"$1,726.05",$172.61
06-09-2024,7991629347,84799090,Machinery and Mechanical Appliances,KJC ROTARY JOINT - 2-2OR6364-30-04,INDIA,QUANTIC TECHNIEX PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),SOUTH KOREA,KWANGJIN,SEOUL,NOS,2,$673.58,$336.79
