DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY,VALUE(USD),UNIT PRICE,Seller Group,Buyer Group,Spare/Unit/Others,product,model,category,type,Manufacturer,YOM,Height (ft),Battery/Diesel,Imp Companies,Relevancy
2025/03/26,6305069843,39199010,Plastics,1304176GT - DECAL\LABEL\TIRE SPECS\GS-1932M - (PARTS OF SCISSOR LIFT)1304176GT - DECAL\LABEL\TIRE SPECS\GS-1932M - (PARTS OF SCIS,INDIA,TEREX INDIA PRIVATE LIMITED,AHMEDABAD (INAMD4),CHINA,TEREX CHANGZHOU MACHINERY CO LT,NANJING,PCS,4260,270 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700333975,84312090,Machinery and Mechanical Appliances,1255758GT WASHER\FLAT\3/8\USS\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,3400,145 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700341210,84312090,Machinery and Mechanical Appliances,824124GT BOLT\ CARRIAGE\ 1/4-20 X .75\ 5\ ZAG (PARTS OF SCISSOR LIFT)824124GT BOLT\ CARRIAGE\ 1/4-20 X .75\ 5\ ZAG (PARTS OF SCIS,INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,3130,133 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700333965,84312090,Machinery and Mechanical Appliances,1253478GT SCREW\HHF\3/8-16X2\8\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,3100,594 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700435945,85369090,Machinery and Mechanical Appliances,1311216GT FERRULE TERMINAL\E2510 BLUE\14AWG (PARTS OF SCISSOR LIFT)1311216GT FERRULE TERMINAL\E2510 BLUE\14AWG (PARTS OF SCISSO,INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,3060,228 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700334663,84312090,Machinery and Mechanical Appliances,1274166GT NUT\NYLOCK\3/8-16\C\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,3060,358 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700451535,85469090,Machinery and Mechanical Appliances,96110GT BOOT\ CABLE\ TERMINAL COVER (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,3040,"1,197 ",0 ,,,Spare,AWP,,,UNKNOWN,NULL,,,,Imp,
2025/02/28,653838252,84312090,Machinery and Mechanical Appliances,T109734GT BUMPER\LINKS\GS69 (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANGZHOU MACHINERY CO LT,SHANGHAI,PCS,3000,"2,126 ",1 ,TEREX,,Spare,AWP,,,UNKNOWN,NULL,,,,Imp,
2025/01/29,3700340965,84312090,Machinery and Mechanical Appliances,28131GT WIRE LOOM\1.25 DIA (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2965,63 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/02/28,653765349,59119090,Textiles / Made ups /  Articles of textiles,28678GT SLEEVE\NYLON\2I.D.\BULK(100 (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANGZHOU MACHINERY CO LT,SHANGHAI,PCS,2953,270 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/03/26,6305069850,39199010,Plastics,1305410GT - DECAL LABEL TRANSPORT TIE DOWN\ H* - (PARTS OF SCISSOR LIFT)1305410GT - DECAL LABEL TRANSPORT TIE DOWN\ H* - (PARTS OF S,INDIA,TEREX INDIA PRIVATE LIMITED,AHMEDABAD (INAMD4),CHINA,TEREX CHANGZHOU MACHINERY CO LT,NANJING,PCS,2901,184 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700341196,84312090,Machinery and Mechanical Appliances,824079GT SCREW\HHF\1/4-20X1\8\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2900,124 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700334635,84312090,Machinery and Mechanical Appliances,1257296GT SCREW\PHPM-ST\8-32X.50\TYPE F\ZAG (PARTS OF SCISSOR LIFT)1257296GT SCREW\PHPM-ST\8-32X.50\TYPE F\ZAG (PARTS OF SCISSO,INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2840,61 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/03/26,6305070460,39199010,Plastics,72086GT - DECAL\LABEL\LIFTING EYE - (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,AHMEDABAD (INAMD4),CHINA,TEREX CHANGZHOU MACHINERY CO LT,NANJING,PCS,2720,403 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700334637,84312090,Machinery and Mechanical Appliances,1259177GT RUE RING\5/8\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2720,869 ,0 ,,,Spare,AWP,,,UNKNOWN,NULL,,,,Imp,
2025/02/28,653838245,84312090,Machinery and Mechanical Appliances,78736GT CLAMP\2 HOSE\PLASTIC (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANGZHOU MACHINERY CO LT,SHANGHAI,PCS,2440,865 ,0 ,TEREX,,Spare,AWP,,,UNKNOWN,NULL,,,,Imp,
2025/01/29,3700341355,84312090,Machinery and Mechanical Appliances,825358GT WASHER\FLAT\5/16\USS\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2420,77 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/15,3699948409,84312090,Machinery and Mechanical Appliances,1256168GT - SCREW\HHC\1/2-13X1.75\8\ZAG (PARTS OF SCISSOR LIFT)1256168GT - SCREW\HHC\1/2-13X1.75\8\ZAG (PARTS OF SCISSOR LI,INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2416,642 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700333984,84312090,Machinery and Mechanical Appliances,1256127GT BOLT\CARRIAGE\1/4-20X1 \GR 5\ZAG (PARTS OF SCISSOR LIFT)1256127GT BOLT\CARRIAGE\1/4-20X1 \GR 5\ZAG (PARTS OF SCISSOR,INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2332,124 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/02/11,653564024,84312090,Machinery and Mechanical Appliances,1307057GT SHIM\0.79X1.311X.079\ZNIC (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANGZHOU MACHINERY CO LT,SHANGHAI,PCS,2325,425 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/03/26,6305069383,39199010,Plastics,1290675GT - DECAL\DANGER\BATTERY SAFETY***\ GS-1330M - (PARTS OF SCISSOR LIFT)1290675GT - DECAL\DANGER\BATTERY SAFETY***\ GS-1330M - (PART,INDIA,TEREX INDIA PRIVATE LIMITED,AHMEDABAD (INAMD4),CHINA,TEREX CHANGZHOU MACHINERY CO LT,NANJING,PCS,2311,856 ,0 ,TEREX,,Spare,AWP,,,UNKNOWN,NULL,,,,Imp,
2025/03/26,6305069844,39199010,Plastics,1304177GT - DECAL\LABLE\WHEEL LOAD GS-1932M - (PARTS OF SCISSOR LIFT)1304177GT - DECAL\LABLE\WHEEL LOAD GS-1932M - (PARTS OF SCIS,INDIA,TEREX INDIA PRIVATE LIMITED,AHMEDABAD (INAMD4),CHINA,TEREX CHANGZHOU MACHINERY CO LT,NANJING,PCS,2301,97 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700341214,84312090,Machinery and Mechanical Appliances,824163GT SNAP RING\ EXTERNAL\ 3/4\ ZAG (PARTS OF SCISSOR LIFT)824163GT SNAP RING\ EXTERNAL\ 3/4\ ZAG (PARTS OF SCISSOR LIF,INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2250,96 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700341351,84312090,Machinery and Mechanical Appliances,825020GT ROD END\ .25 X 2.75\ ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2250,"1,988 ",1 ,TEREX,,Spare,AWP,,,UNKNOWN,NULL,,,,Imp,
2025/03/26,6305069866,39199010,Plastics,1305429GT - DECAL\IMPROPER OPERATION\MINI\H - (PARTS OF SCISSOR LIFT)1305429GT - DECAL\IMPROPER OPERATION\MINI\H - (PARTS OF SCIS,INDIA,TEREX INDIA PRIVATE LIMITED,AHMEDABAD (INAMD4),CHINA,TEREX CHANGZHOU MACHINERY CO LT,NANJING,PCS,2130,338 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700341354,84312090,Machinery and Mechanical Appliances,825353GT WASHER\FLAT\1/2\SAE\HRD\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2100,157 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/04/04,2078679942,39269099,Plastics,96085GT WASHER\ THRUST\ .63 X 1.13 X .06 (PARTS OF SCISSOR LIFT)96085GT WASHER\ THRUST\ .63 X 1.13 X .06 (PARTS OF SCISSOR L,INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2100,389 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700333994,84312090,Machinery and Mechanical Appliances,1256844GT SCREW\HHC\1/2-13X1.5\8\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2100,559 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700334662,84312090,Machinery and Mechanical Appliances,1274165GT NUT\NYLOCK\1/4-20\C\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,2000,107 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700341201,84312090,Machinery and Mechanical Appliances,824090GT SCREW\HHF\3/8-16X1\8\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,1960,230 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700333999,84312090,Machinery and Mechanical Appliances,1256863GT WASHER\FLAT\.75\F436\HRD\ZAG (PARTS OF SCISSOR LIFT)1256863GT WASHER\FLAT\.75\F436\HRD\ZAG (PARTS OF SCISSOR LIF,INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,1960,355 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/02/11,653564023,84312090,Machinery and Mechanical Appliances,1307057GT SHIM\0.79X1.311X.079\ZNIC (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANGZHOU MACHINERY CO LT,SHANGHAI,PCS,1903,348 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/03/26,6305069856,39199010,Plastics,1305416GT - DECAL\POWER TO PLATFORM 115V\H - (PARTS OF SCISSOR LIFT)1305416GT - DECAL\POWER TO PLATFORM 115V\H - (PARTS OF SCISS,INDIA,TEREX INDIA PRIVATE LIMITED,AHMEDABAD (INAMD4),CHINA,TEREX CHANGZHOU MACHINERY CO LT,NANJING,PCS,1871,59 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700334646,84312090,Machinery and Mechanical Appliances,1259197GT PIN\CLEVIS\.625X1.88\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,1822,"5,489 ",3 ,,,Spare,AWP,,,UNKNOWN,NULL,,,,Imp,
