DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY,VALUE(USD),UNIT PRICE,Seller Group,Buyer Group,SBU,Spare / Unit / Others,Product,Model,Category,Application,Manufacturer,Relevancy
26-02-2025,0650697830,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR)(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PA,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,8,"$3,660.16",$457.52,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,5VIE100A-1310-2,New,Excavator,ALA OFFICINE SPA,Relevant
26-02-2025,0650697829,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR)(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PA,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,2,$915.04,$457.52,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,5VIE100A-1310-2,New,Excavator,ALA OFFICINE SPA,Relevant
28-08-2024,1042850948,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,13,"$6,185.86",$475.84,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,5VIE100A-1310-2,New,Excavator,ALA OFFICINE SPA,Relevant
28-08-2024,1042850947,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,7,"$3,330.84",$475.84,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,5VIE100A-1310-2,New,Excavator,ALA OFFICINE SPA,Relevant
19-03-2025,4762053319,84314990,Machinery and Mechanical Appliances,(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EXCAVATOR)(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EX,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,5,"$4,904.15",$980.83,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,7VIE110,New,Excavator,ALA OFFICINE SPA,Relevant
19-03-2025,4761918534,84314990,Machinery and Mechanical Appliances,(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EXCAVATOR)(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EX,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,15,"$14,712.46",$980.83,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,7VIE110,New,Excavator,ALA OFFICINE SPA,Relevant
30-08-2024,1042912007,84314990,Machinery and Mechanical Appliances,(PART NO:402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,15,"$14,888.35",$992.56,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,7VIE110,New,Excavator,ALA OFFICINE SPA,Relevant
30-08-2024,1042912006,84314990,Machinery and Mechanical Appliances,(PART NO:402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,10,"$9,925.56",$992.56,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,7VIE110,New,Excavator,ALA OFFICINE SPA,Relevant
08-03-2025,1134132497,84314930,Machinery and Mechanical Appliances,402/L4851 GIUNTO ROTANTE 7 VIE 110 A-1851-16 (PARTS FOR EXCAVATOR LOADER FOR CAPTIVE USE)402/L4851 GIUNTO ROTANTE 7 VIE 110 A-1851-16 (PARTS FOR EX,INDIA,JCB INDIA LIMITED,DELHI AIR CARGO (INDEL4),ITALY,ALA OFFICINE SPA,MILAN,NOS,15,"$15,275.15","$1,018.34",ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,7VIE110A-1851-16,New,Excavator,ALA OFFICINE SPA,Relevant
08-03-2025,1134132497,84314930,Machinery and Mechanical Appliances,402/L4851 GIUNTO ROTANTE 7 VIE 110 A-1851-16 (PARTS FOR EXCAVATOR LOADER FOR CAPTIVE USE)402/L4851 GIUNTO ROTANTE 7 VIE 110 A-1851-16 (PARTS FOR EX,INDIA,JCB INDIA LIMITED,DELHI AIR CARGO (INDEL4),ITALY,ALA OFFICINE SPA,MILAN,NOS,15,"$15,275.15","$1,018.34",ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,7VIE110A-1851-16,New,Excavator,ALA OFFICINE SPA,Relevant
