DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY, VALUE(USD) , UNIT PRICE 
27-12-2022,8484588315,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE FOR ARTIFICIAL MARBLE( HIGH FIBER FLEXIBLE FICKERT) (GRITS 6000#) (QTY : 1800 PCS X 2.320 USD),INDIA,ASIAN GRANITO INDIA LIMITED,PIPAVAV(VICTOR) PORT (INPAV),CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,KGS,162.5," $ 4,349.26 ", $ 26.76 
20-07-2022,1056382351,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE FOR ARTIFICIAL MARBLE( HIGH FIBER FLEXIBLE FICKERT) (GRITS 6000#) (QTY : 720 PCS X 2.42 USD) ,INDIA,ASIAN GRANITO INDIA LIMITED,PIPAVAV(VICTOR) PORT (INPAV),CHINA,"KERRYFU INTERNATIONAL TRADING CO., LIMITED",,KGS,65," $ 2,012.77 ", $ 30.97 
04-01-2022,1301590305,39269099,Plastics,FRANKFURT ABRASIVE FOR ARTIFICIAL MARBLE(HIGH FIBER FLEXIBLE) (GRITS 1000#) (3600 PCS) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,200," $ 9,114.87 ", $ 45.57 
04-01-2022,1080417133,39269099,Plastics,FRANKFURT ABRASIVE FOR ARTIFICIAL MARBLE(HIGH FIBER FLEXIBLE) (GRITS 2000#) (3600 PCS) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,200," $ 9,114.87 ", $ 45.57 
04-01-2022,1169380520,39269099,Plastics,FRANKFURT ABRASIVE FOR ARTIFICIAL MARBLE(HIGH FIBER FLEXIBLE) (GRITS 3000#) (3600 PCS) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,200," $ 9,114.87 ", $ 45.57 
04-01-2022,1230204568,39269099,Plastics,FRANKFURT ABRASIVE FOR ARTIFICIAL MARBLE(HIGH FIBER FLEXIBLE) (GRITS 6000#) (3600 PCS) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,200," $ 9,114.87 ", $ 45.57 
26-05-2022,1123806162,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-1000# PCS- 5760) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"5,880"," $ 5,110.03 ", $ 0.87 
26-05-2022,1056366737,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-1200# PCS- 3120) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"3,055"," $ 2,767.93 ", $ 0.91 
26-05-2022,1132615207,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-150# PCS- 4560) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"4,655"," $ 2,889.60 ", $ 0.62 
26-05-2022,1158644790,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-1500# PCS- 4320) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"4,230"," $ 3,878.14 ", $ 0.92 
