DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,DESTINATION PORT,BUYER,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT, QUANTITY , VALUE(USD) , UNIT PRICE ,Seller Group,Buyer Group,Spare / Unit / Others,Product,Model,Category,Type,Manufacturer,Relevancy,Buyer_Type,Seller_Type
07-04-2020,0704202012591925,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) (QTY: 1728 PCS) ,INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  2 ," $ 1,467 ", $ 0.87 ,,,,Steel Shot,,Other,,,,End Customer,
24-02-2022,1129417464,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) (QTY: 360 PCSX 0.957 USD) ,INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,"KERRYFU INTERNATIONAL TRADING CO., LIMITED",,MTS,  0 , $ 401 , $ 1.09 ,,,,Steel Shot,,Other,,,,End Customer,
21-08-2019,2.1082E+15,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) (QTY:1728 PCS),INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  2 ," $ 1,441 ", $ 0.85 ,,,,Steel Shot,,Other,,,,End Customer,
10-02-2020,100220208299460,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) (QTY:1728 PCS) ,INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  2 ," $ 1,466 ", $ 0.80 ,,,,Steel Shot,,Other,,,,End Customer,
23-11-2020,2.3112E+15,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) (QTY:1728 PCS) ,INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,"KERRYFU INTERNATIONAL TRADING CO., LIMITED",JIANGMEN,MTS,  2 ," $ 1,492 ", $ 0.88 ,,,,Steel Shot,,Other,,,,End Customer,
27-12-2019,2.7122E+15,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) (QTY:2304 PCS) ,INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  2 ," $ 1,910 ", $ 0.85 ,,,,Steel Shot,,Other,,,,End Customer,
25-06-2019,2.5062E+15,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) (QTY:288 PCS),INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,N/A,,MTS,  0 , $ 239 , $ 0.81 ,,,,Steel Shot,,Other,,,,End Customer,
17-09-2019,170920192528730,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) (QTY:480 PCS) ,INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  0 , $ 399 , $ 0.81 ,,,,Steel Shot,,Other,,,,End Customer,
04-11-2019,0411201916059270,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) (QTY:576 PCS) ,INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  1 , $ 481 , $ 0.79 ,,,,Steel Shot,,Other,,,,End Customer,
23-01-2019,230120191159280,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) (QTY:720 PCS),INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,N/A,JIANGMEN,MTS,  1 , $ 598 , $ 0.85 ,,,,Steel Shot,,Other,,,,End Customer,
03-06-2019,0306201918967383,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) (QTY:720 PCS),INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,N/A,,MTS,  1 , $ 603 , $ 0.82 ,,,,Steel Shot,,Other,,,,End Customer,
01-02-2023,9326495372,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) AS PER INV,INDIA,MUNDRA (INMUN1),CAMROLA QUARTZ LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,TOKYO,PCS," 1,440 "," $ 1,491 ", $ 1.04 ,,,,Steel Shot,,Other,,,,End Customer,
09-10-2023,9456534843,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) AS PER INV,INDIA,MUNDRA (INMUN1),CAMROLA QUARTZ LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,FRANKFURT AM MAIN,PCS," 1,440 "," $ 1,484 ", $ 1.03 ,,,,Steel Shot,,Other,,,,End Customer,
01-08-2024,1046881280,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#) AS PER INVOICE,INDIA,MUNDRA (INMUN1),CAMROLA QUARTZ LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,PCS,  960 ," $ 1,063 ", $ 1.11 ,,,,Steel Shot,,Other,,,,End Customer,
