DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY, VALUE(USD) , UNIT PRICE 
4/9/2021,1359431732,28051200,Chemicals,CALCIUM METAL - SIZE 0.1-2MM (CALCIUM GRANULES) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,"W&W METAL TRADING CO., LIMITED",,KGS,14000.00," $ 67,480.00 ", $ 4.82 
1/9/2021,1003580201,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE - CA 98.64% (FOR INDUSTRY USE NOTFOR DRUG OR COSMETICS.) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,29.22," $ 150,527.61 "," $ 5,151.53 "
25/8/2021,1002676535,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,SHANGHAI,MTS,14.35," $ 75,781.41 "," $ 5,280.94 "
12/8/2021,1036055046,28051200,Chemicals,CALCIUM METAL - SIZE 0.1-2MM (CALCIUM GRANULES) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,"W&W METAL TRADING CO., LIMITED",SHANGHAI,KGS,14000.00," $ 63,700.00 ", $ 4.55 
6/8/2021,1032814443,28051200,Chemicals,CALCIUM METALSIZE 0.1-2MM (CALCIUM GRANULES) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,SHANGHAI,KGS,28000.00," $ 134,423.79 ", $ 4.80 
20/7/2021,1161852474,28051200,Chemicals,CALCIUM METALSIZE 0.1-2MM (CALCIUM GRANULES) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,SHANGHAI,KGS,28000.00," $ 134,423.79 ", $ 4.80 
15/7/2021,1164914174,28051200,Chemicals,CALCIUM METALSIZE 0.2-2MM (CALCIUM GRANULES) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),UNITED STATES,"CCMA, LLC",SHANGHAI,KGS,23760.00," $ 77,457.60 ", $ 3.26 
2/7/2021,1024659984,28051200,Chemicals,CALCIUM METAL (CALCIUM GRANULES) SIZE 0.1-2MM ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,"W&W METAL TRADING CO., LIMITED",SHANGHAI,KGS,14000.00," $ 45,220.00 ", $ 3.23 
13/5/2021,1086522090,28051200,Chemicals,CALCIUM METAL GRANULES 0.1MM-2.0MM (LIC NO.CC/SC/KA/III/002/VALID:31.12.22) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),UNITED STATES,"CCMA, LLC",SHANGHAI,MTS,14.40," $ 46,800.00 "," $ 3,250.00 "
12/5/2021,1106360872,28051200,Chemicals,CALCIUM METAL GRANULES 0.1-2.0MM (LIC NO.CC/SC/KA/III/002/VALID:31.12.22) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,"WINFRED INTL METAL SOURCE CO., LTD",SHANGHAI,MTS,28.00," $ 90,440.00 "," $ 3,230.00 "
