shipment_id,issue_type,column,details
4046861681,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4047345693,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4047263647,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4047074678,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4047286789,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4047127974,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4046250279,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4046187006,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4047284174,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
