shipment_id,issue_type,column,details
5390600,Duplicate,shipment_id,Appears multiple times
5390585,Duplicate,shipment_id,Appears multiple times
5390572,Duplicate,shipment_id,Appears multiple times
5390573,Duplicate,shipment_id,Appears multiple times
5390557,Duplicate,shipment_id,Appears multiple times
5390539,Duplicate,shipment_id,Appears multiple times
5390524,Duplicate,shipment_id,Appears multiple times
5390510,Duplicate,shipment_id,Appears multiple times
5390495,Duplicate,shipment_id,Appears multiple times
5390478,Duplicate,shipment_id,Appears multiple times
3.0749E+11,Duplicate,shipment_id,Appears multiple times
5390424,Duplicate,shipment_id,Appears multiple times
5390425,Duplicate,shipment_id,Appears multiple times
5390404,Duplicate,shipment_id,Appears multiple times
5390343,Duplicate,shipment_id,Appears multiple times
5390316,Duplicate,shipment_id,Appears multiple times
5390277,Duplicate,shipment_id,Appears multiple times
5310503556,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390600,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390600,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390600,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390601,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390585,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390585,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390572,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390573,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390572,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390573,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390572,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5026540,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390557,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390557,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390540,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390539,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390539,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5390524,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
