shipment_id,issue_type,column,details
001-2026-007935,Duplicate,shipment_id,Appears multiple times
55302 280126 0014763,Duplicate,shipment_id,Appears multiple times
056463,Duplicate,shipment_id,Appears multiple times
55301 220126 0007958,Duplicate,shipment_id,Appears multiple times
ONEYANRF32582300,Duplicate,shipment_id,Appears multiple times
55302 150126 0006734,Duplicate,shipment_id,Appears multiple times
008464,Duplicate,shipment_id,Appears multiple times
55411 140126 1001303,Duplicate,shipment_id,Appears multiple times
006757,Duplicate,shipment_id,Appears multiple times
B182026101018637,Duplicate,shipment_id,Appears multiple times
015873,Duplicate,shipment_id,Appears multiple times
P122026101001156,Duplicate,shipment_id,Appears multiple times
55411 050126 1000014,Duplicate,shipment_id,Appears multiple times
55411 050126 1000009,Duplicate,shipment_id,Appears multiple times
55411 050126 1000011,Duplicate,shipment_id,Appears multiple times
QZIDQDZF25120503,Invalid Length,hs_code,HS code too short: 30629
2607204763,Low Price,unit_price,Suspiciously low unit price (3.5)
2607177702,Low Price,unit_price,Suspiciously low unit price (3.9)
2607140374,Low Price,unit_price,Suspiciously low unit price (4.3)
2607246652,Low Price,unit_price,Suspiciously low unit price (39.15)
2607200421,Low Price,unit_price,Suspiciously low unit price (11.3)
2607183851,Low Price,unit_price,Suspiciously low unit price (3.7)
2607233054,Low Price,unit_price,Suspiciously low unit price (43.1)
2607264616,Low Price,unit_price,Suspiciously low unit price (1.2)
2607224478,Low Price,unit_price,Suspiciously low unit price (35.844)
4949045333,Low Price,unit_price,Suspiciously low unit price (1.35)
2607314289,Low Price,unit_price,Suspiciously low unit price (8.625)
2607333126,Low Price,unit_price,Suspiciously low unit price (10.743)
3936005735,Low Price,unit_price,Suspiciously low unit price (17.377)
3935936615,Low Price,unit_price,Suspiciously low unit price (9.918)
3935854881,Low Price,unit_price,Suspiciously low unit price (5.377)
3935962241,Low Price,unit_price,Suspiciously low unit price (9.761)
3935845912,Low Price,unit_price,Suspiciously low unit price (0.251)
3936067506,Low Price,unit_price,Suspiciously low unit price (1.119)
3935891054,Low Price,unit_price,Suspiciously low unit price (1.15)
3935896761,Low Price,unit_price,Suspiciously low unit price (35.152)
3935903929,Low Price,unit_price,Suspiciously low unit price (4.875)
BANQ1071457901,Low Price,unit_price,Suspiciously low unit price (0.0)
3935870538,Low Price,unit_price,Suspiciously low unit price (4.875)
TLKPTAOSEA5D007X,Low Price,unit_price,Suspiciously low unit price (0.0)
3935873604,Low Price,unit_price,Suspiciously low unit price (0.282)
3934702305,Low Price,unit_price,Suspiciously low unit price (0.324)
3934696414,Low Price,unit_price,Suspiciously low unit price (9.918)
3934547486,Low Price,unit_price,Suspiciously low unit price (39.065)
3935994662,Low Price,unit_price,Suspiciously low unit price (0.251)
3935900453,Low Price,unit_price,Suspiciously low unit price (0.303)
TLKPTAOATL5D034X,Low Price,unit_price,Suspiciously low unit price (0.0)
CMDUQGD2517380,Low Price,unit_price,Suspiciously low unit price (0.0)
066179,Low Price,unit_price,Suspiciously low unit price (40.94)
QZIDQDZF26010445,Low Price,unit_price,Suspiciously low unit price (0.0)
TLKPTAOCHI5D070X,Low Price,unit_price,Suspiciously low unit price (0.0)
TLKPTAOLAX5D046X,Low Price,unit_price,Suspiciously low unit price (0.0)
TLKPTAOCHI5D069X,Low Price,unit_price,Suspiciously low unit price (0.0)
SGLSSHA35118854,Low Price,unit_price,Suspiciously low unit price (0.0)
CMDUCAN0966841,Low Price,unit_price,Suspiciously low unit price (0.0)
NXHSQDXH25120310,Low Price,unit_price,Suspiciously low unit price (0.0)
QZIDQDZF26010615,Low Price,unit_price,Suspiciously low unit price (0.0)
BANQ1071795497,Low Price,unit_price,Suspiciously low unit price (0.0)
BANQ1071876174,Low Price,unit_price,Suspiciously low unit price (0.0)
SXLMHTAO00015676,Low Price,unit_price,Suspiciously low unit price (0.0)
AXXMKY25120279T,Low Price,unit_price,Suspiciously low unit price (0.0)
CKXPCL25110455,Low Price,unit_price,Suspiciously low unit price (0.0)
TLKPTAOATL5D023X,Low Price,unit_price,Suspiciously low unit price (0.0)
THGLWUH25120148,Low Price,unit_price,Suspiciously low unit price (0.0)
DCIDSE25120043,Low Price,unit_price,Suspiciously low unit price (0.0)
PPILQ25120701,Low Price,unit_price,Suspiciously low unit price (0.0)
TLKPTAOLAX5D077X,Low Price,unit_price,Suspiciously low unit price (0.0)
SHNLSLQD26010132,Low Price,unit_price,Suspiciously low unit price (0.0)
3935061964,Low Price,unit_price,Suspiciously low unit price (23.113)
3935169389,Low Price,unit_price,Suspiciously low unit price (40.075)
3935024475,Low Price,unit_price,Suspiciously low unit price (16.181)
3935106990,Low Price,unit_price,Suspiciously low unit price (0.079)
3935224570,Low Price,unit_price,Suspiciously low unit price (1.323)
3935197248,Low Price,unit_price,Suspiciously low unit price (5.662)
3935279026,Low Price,unit_price,Suspiciously low unit price (8.308)
3935063286,Low Price,unit_price,Suspiciously low unit price (40.075)
3935064222,Low Price,unit_price,Suspiciously low unit price (26.461)
SZILSHZH26010005,Low Price,unit_price,Suspiciously low unit price (0.0)
QZIDQDZF25121346,Low Price,unit_price,Suspiciously low unit price (0.0)
3936306983,Low Price,unit_price,Suspiciously low unit price (38.843)
3935055080,Low Price,unit_price,Suspiciously low unit price (46.307)
3935019453,Low Price,unit_price,Suspiciously low unit price (5.278)
3935013573,Low Price,unit_price,Suspiciously low unit price (26.461)
3935105477,Low Price,unit_price,Suspiciously low unit price (0.172)
3935138243,Low Price,unit_price,Suspiciously low unit price (26.461)
3935058304,Low Price,unit_price,Suspiciously low unit price (13.561)
3935201239,Low Price,unit_price,Suspiciously low unit price (26.673)
3935047819,Low Price,unit_price,Suspiciously low unit price (48.476)
3935087942,Low Price,unit_price,Suspiciously low unit price (19.845)
3935282055,Low Price,unit_price,Suspiciously low unit price (48.952)
3935033425,Low Price,unit_price,Suspiciously low unit price (0.198)
3935221751,Low Price,unit_price,Suspiciously low unit price (1.627)
3935205721,Low Price,unit_price,Suspiciously low unit price (46.307)
3935190220,Low Price,unit_price,Suspiciously low unit price (5.821)
3935103464,Low Price,unit_price,Suspiciously low unit price (9.619)
3934686266,Low Price,unit_price,Suspiciously low unit price (0.807)
3935325056,Low Price,unit_price,Suspiciously low unit price (9.85)
3934575280,Low Price,unit_price,Suspiciously low unit price (0.763)
3935427774,Low Price,unit_price,Suspiciously low unit price (0.807)
3934571993,Low Price,unit_price,Suspiciously low unit price (10.041)
3935406654,Low Price,unit_price,Suspiciously low unit price (15.751)
3935549986,Low Price,unit_price,Suspiciously low unit price (19.656)
3934965028,Low Price,unit_price,Suspiciously low unit price (4.829)
3935108193,Low Price,unit_price,Suspiciously low unit price (2.752)
3935118523,Low Price,unit_price,Suspiciously low unit price (30.165)
3935267652,Low Price,unit_price,Suspiciously low unit price (0.965)
3935150058,Low Price,unit_price,Suspiciously low unit price (4.299)
