shipment_id,issue_type,column,details
TATU97838700,Missing Value,hs_code,Empty or invalid value
TATU27838700,Missing Value,hs_code,Empty or invalid value
TATU97878700,Missing Value,hs_code,Empty or invalid value
TATU378B8700,Missing Value,hs_code,Empty or invalid value
2.0042E+15,Duplicate,shipment_id,Appears multiple times
220220194561140,Duplicate,shipment_id,Appears multiple times
1.6122E+15,Duplicate,shipment_id,Appears multiple times
2.0062E+15,Duplicate,shipment_id,Appears multiple times
1.2072E+15,Duplicate,shipment_id,Appears multiple times
300320209366840,Duplicate,shipment_id,Appears multiple times
1.8092E+15,Duplicate,shipment_id,Appears multiple times
2.9082E+15,Duplicate,shipment_id,Appears multiple times
1.7032E+15,Duplicate,shipment_id,Appears multiple times
3.1122E+15,Duplicate,shipment_id,Appears multiple times
1.5102E+15,Duplicate,shipment_id,Appears multiple times
1.4072E+15,Duplicate,shipment_id,Appears multiple times
1.3042E+15,Duplicate,shipment_id,Appears multiple times
3.1082E+15,Duplicate,shipment_id,Appears multiple times
301020195966000,Duplicate,shipment_id,Appears multiple times
1.1092E+15,Duplicate,shipment_id,Appears multiple times
100220206379650,Duplicate,shipment_id,Appears multiple times
221020195465300,Duplicate,shipment_id,Appears multiple times
2.3072E+15,Duplicate,shipment_id,Appears multiple times
1.5092E+15,Duplicate,shipment_id,Appears multiple times
1.6072E+15,Duplicate,shipment_id,Appears multiple times
2.4062E+15,Duplicate,shipment_id,Appears multiple times
2.7062E+15,Duplicate,shipment_id,Appears multiple times
2.2122E+15,Duplicate,shipment_id,Appears multiple times
2.6082E+15,Duplicate,shipment_id,Appears multiple times
2.3042E+15,Duplicate,shipment_id,Appears multiple times
1.9072E+15,Duplicate,shipment_id,Appears multiple times
1.8072E+15,Duplicate,shipment_id,Appears multiple times
1.1042E+15,Duplicate,shipment_id,Appears multiple times
1.4062E+15,Duplicate,shipment_id,Appears multiple times
130320209571380,Duplicate,shipment_id,Appears multiple times
1.3112E+15,Duplicate,shipment_id,Appears multiple times
290220209040290,Duplicate,shipment_id,Appears multiple times
1.9052E+15,Duplicate,shipment_id,Appears multiple times
141020193990260,Duplicate,shipment_id,Appears multiple times
2.5042E+15,Duplicate,shipment_id,Appears multiple times
2.5082E+15,Duplicate,shipment_id,Appears multiple times
2.5112E+15,Duplicate,shipment_id,Appears multiple times
1.9112E+15,Duplicate,shipment_id,Appears multiple times
1.9102E+15,Duplicate,shipment_id,Appears multiple times
2.6042E+15,Duplicate,shipment_id,Appears multiple times
1.0072E+15,Duplicate,shipment_id,Appears multiple times
2.1062E+15,Duplicate,shipment_id,Appears multiple times
141020196066000,Duplicate,shipment_id,Appears multiple times
141020196065990,Duplicate,shipment_id,Appears multiple times
2.9122E+15,Duplicate,shipment_id,Appears multiple times
110220208764410,Duplicate,shipment_id,Appears multiple times
110220208764400,Duplicate,shipment_id,Appears multiple times
