shipment_id,issue_type,column,details
SHIPMENT ID,Invalid Format,hs_code,HS code contains invalid characters: HS CODE
5314629348,Low Price,unit_price,Suspiciously low unit price (48.98)
5313828825,Low Price,unit_price,Suspiciously low unit price (48.98)
5313156543,Low Price,unit_price,Suspiciously low unit price (43.43)
5313203248,Low Price,unit_price,Suspiciously low unit price (48.98)
5314614100,Low Price,unit_price,Suspiciously low unit price (1.81)
5317393213,Low Price,unit_price,Suspiciously low unit price (0.11)
4233327038,Low Price,unit_price,Suspiciously low unit price (39.0)
4232675106,Low Price,unit_price,Suspiciously low unit price (29.49)
SHIPMENT ID,Low Price,unit_price,Suspiciously low unit price (0.0)
5316899154,Low Price,unit_price,Suspiciously low unit price (19.98)
5316631661,Low Price,unit_price,Suspiciously low unit price (1.02)
4233345692,Low Price,unit_price,Suspiciously low unit price (4.09)
4232272512,Low Price,unit_price,Suspiciously low unit price (4.06)
4232570266,Low Price,unit_price,Suspiciously low unit price (19.3)
5315248617,Low Price,unit_price,Suspiciously low unit price (23.57)
5313274416,Low Price,unit_price,Suspiciously low unit price (9.22)
5313921892,Low Price,unit_price,Suspiciously low unit price (32.2)
5313308754,Low Price,unit_price,Suspiciously low unit price (49.05)
5316118927,Low Price,unit_price,Suspiciously low unit price (0.1)
5314403776,Low Price,unit_price,Suspiciously low unit price (47.19)
5314532980,Low Price,unit_price,Suspiciously low unit price (47.19)
