shipment_id,issue_type,column,details
3935681581,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935206297,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935762769,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3936104255,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935690557,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3934916069,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3934839561,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935076036,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3934971707,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935191022,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935769989,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935114245,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935113180,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935691976,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3936056901,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935298387,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3934674837,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3936156746,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935093390,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935711230,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935741833,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
3935787020,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
