shipment_id,issue_type,column,details
SHIPMENT ID,Invalid Format,hs_code,HS code contains invalid characters: HS CODE
5316339886,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313209940,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316341753,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316384365,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314629348,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313828825,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313156543,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313203248,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313350409,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5315356377,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5315320720,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313273148,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313339522,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313226088,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313202236,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313267910,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5317394542,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313323642,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313365818,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313260004,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313247380,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313334719,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313334607,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5315259795,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313230259,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314415169,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314378236,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314499417,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314542256,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314315934,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314568543,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314614100,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5317393418,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5317393213,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5312016749,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5315902904,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316017179,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316033049,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316026388,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5315917926,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5317391568,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5312752657,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5312568876,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316515051,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5315645150,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316496693,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316491184,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316490997,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316563521,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316610431,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316688399,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316653720,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316473040,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316472985,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316159532,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5315968725,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5315798348,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316187121,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316846435,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316267492,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316245284,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314720719,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314716549,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314714742,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314709635,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314707559,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314749411,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313464350,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313664557,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313663111,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316748168,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316737000,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316773278,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316295775,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316228980,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316316356,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234398039,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233814521,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
9475836138,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234414983,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234891659,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4235820080,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233832404,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4235921917,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232946341,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4235328773,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234333204,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232939383,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234487310,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234869770,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232663027,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233438899,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233715482,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4235283837,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4235281676,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233327038,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232583206,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232757204,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232794146,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4236261595,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232675106,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232729734,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
