shipment_id,issue_type,column,details
2906200000000000.0,Duplicate,shipment_id,Appears multiple times
150320000000000.0,Duplicate,shipment_id,Appears multiple times
280120000000000.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1138773134.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1107045130.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2906200000000000.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2906200000000000.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
150320000000000.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1548904469.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1047572177.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1102373557.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
150320000000000.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1014178356.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1042539929.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1098189407.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1093323110.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1064500645.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1125457781.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1457955315.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1101090283.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1029265546.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1077289528.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1023830076.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1150651267.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1424102947.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1478294955.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
150320000000000.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
284054830.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
284054828.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
284051306.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
284123801.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
284123800.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1091063803.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1062815354.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1054075041.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1115467972.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1159589915.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1151476732.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1418033820.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1002676535.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1242070587.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1594969351.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1068713843.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1146128274.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1003580201.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2906200000000000.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2906200000000000.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1489243689.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
9200246455.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
9200239540.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
1322816742.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
9200746289.0,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
