shipment_id,issue_type,column,details
2197204689,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2197002031,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2196982173,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2196977480,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2197009168,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2197189681,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2196991166,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2197261393,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2197261378,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2197171035,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2197184058,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198888745,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198051936,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198049891,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198049444,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198086772,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198082321,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198078409,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198008392,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2197993333,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198218227,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198201510,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198200997,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198191644,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198172615,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198171499,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198164282,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198110718,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198110484,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198106911,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198106734,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198104460,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198100660,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198160739,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198028917,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198034805,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198069145,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
2198146269,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
