date,shipment_id,hs_code,industry,product_description,buyer_country,destination_port,buyer,seller_country,seller,origin_port,unit,quantity,valueusd,unit_price,_derived_value_calc,_value_mismatch,Seller Group,Buyer Group,Normalized_Model_Internal,Match_Score,Spare / Unit / Others,Unit_Normalized,Manufacturer,Model,type,Extracted_Condition,Product,Category,Type,Seller_Type,Buyer_Type,product,Relevancy,relevancy_confidence,calc_value,value_diff_pct,shipment_type
2022-11-30,6751984332,68042190.0,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",POLISHING GLAZED ABRASIVES TYPE T1 L140 GRITS 180# 240# 320# 400# 600# 800# 1000# 1200# 1500#,INDIA,MUNDRA (INMUN1),PIONEER CERAMICS INDUSTRIES,CHINA,KCL INDUSTRY CO. LIMITED.,JIUJIANG,MTS,20.0,135707.0,6.83,136.6,True,,PIONEER CERAMICS INDUSTRIES,L140,69.17,Others,mts,KCL INDUSTRY CO LIMITED,L140,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4024,136.6,0.9989934196467389,Unknown
2023-05-15,8849413228,72051011.0,Iron and Steel,STEEL SHOTS AND GRITS,INDIA,CHENNAI SEA (INMAA1),ASIAN STEEL INDUSTRIES,CHINA,CHINA LUBAO CO LTD,QINGDAO,MTS,216.0,134550.0,622.92,134550.72,False,,ASIAN STEEL INDUSTRIES,,24.56,Others,mts,CHINA LUBAO CO LTD,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4714,134550.72,5.3511705685705255e-06,Unknown
2022-11-10,9201292928,68042290.0,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",GLAZE POLISHING ABRASIVE TYPE T1 L140 GRITS 180# 240# 320# 400# 600# 800# 1000# 3000#,INDIA,MUNDRA (INMUN1),SAFECON INTERNATIONAL,CHINA,KCL INDUSTRY CO. LIMITED.,JIUJIANG,MTS,20.0,133607.0,6.75,135.0,True,,SAFECON INTERNATIONAL,L140,69.17,Others,mts,KCL INDUSTRY CO LIMITED,L140,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4661,135.0,0.9989895738995711,Unknown
2023-08-16,0127242244,72051011.0,Iron and Steel,STEEL SHOTS AND GRITS,INDIA,NHAVA SHEVA SEA (INNSA1),ASIAN STEEL INDUSTRIES,CHINA,ZIBO CONTINENTAL CARBON CO LTD,QINGDAO,MTS,216.0,133130.0,616.34,133129.44,False,,ASIAN STEEL INDUSTRIES,,27.78,Others,mts,ZIBO CONTINENTAL CARBON CO LTD,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4714,133129.44,4.2064147825258894e-06,Unknown
2021-03-30,1021189402,28112200.0,Inorganic Chemicals,PHX CRYSTAL CRISTOBALITE GRITS 0.1-0.4MM (USED IN MOULDING LINE FOR MANUFACTURING QUARTZ SURFACE SLABS),INDIA,APIICL SEZ VISAKHAPATNAM (INAKP6),POKARNA ENGINEERED STONE LIMITED,VIETNAM,PHENIKAA HUE MINERAL PROCESSING & INVESTMENT ONE MEMBER COMPANY LIMITED,,MTS,468.0,133079.0,0.28,131.04000000000002,True,,POKARNA ENGINEERED STONE LIMITED,,28.12,Spare,mts,PHENIKAA HUE MINERAL PROCESSING INVESTMENT ONE MEMBER COMPANY LIMITED,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.3157,131.04000000000002,0.9990153217261927,Unknown
2024-01-29,9202706385,72051011.0,Iron and Steel,STEEL SHOTS AND GRITS,INDIA,CHENNAI SEA (INMAA1),ASIAN STEEL INDUSTRIES,HONG KONG,WESTSUN DEVELOPMENT LIMITED,QINGDAO,MTS,241.0,133020.0,551.95,133019.95,False,,ASIAN STEEL INDUSTRIES,,24.56,Others,mts,WESTSUN DEVELOPMENT LIMITED,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4699,133019.95,3.7588332572814964e-07,Unknown
2019-04-24,2.4042E+15,72051011.0,Iron and Steel,STEEL SHOTS AND GRITS,INDIA,NHAVA SHEVA SEA (INNSA1),ASIAN STEEL INDUSTRIES,CHINA,ZIBO CONTINENTAL CARBON CO LTD,QINGDAO,MTS,263.0,132815.0,505.0,132815.0,False,,ASIAN STEEL INDUSTRIES,,27.78,Others,mts,ZIBO CONTINENTAL CARBON CO LTD,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4686,132815.0,0.0,Unknown
2023-04-04,7855395978,28112200.0,Inorganic Chemicals,PHX CRYSTAL CRISTOBALITE GRITS 0.1-0.4MM(SILICON DIOXIDE)(FOR THE MANUFACTURE OF QUARTZ SLABS)(100% EOU UNIT),INDIA,KATTUPALLI (INKAT1),MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,VIETNAM,PHENIKAA HUE MINERAL PROCESSING & INVESTMENT ONE MEMBER COMPANY LIMITED,DA NANG,MTS,520.0,132600.0,0.26,135.20000000000002,True,,MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,,28.95,Others,mts,PHENIKAA HUE MINERAL PROCESSING INVESTMENT ONE MEMBER COMPANY LIMITED,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.3824,135.20000000000002,0.9989803921568626,Unknown
2023-11-26,0220028902,72051011.0,Iron and Steel,STEEL SHOTS AND GRITS,INDIA,CHENNAI SEA (INMAA1),ASIAN STEEL INDUSTRIES,HONG KONG,WESTSUN DEVELOPMENT LIMITED,QINGDAO,MTS,234.0,132520.0,566.32,132518.88,True,,ASIAN STEEL INDUSTRIES,,24.56,Others,mts,WESTSUN DEVELOPMENT LIMITED,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4703,132518.88,8.45155448230715e-06,Unknown
2024-09-24,7992510263,28112200.0,Inorganic Chemicals,PHX CRYSTAL - CRISTOBALITE GRITS 0.1-0.4MM,INDIA,CHENNAI SEA (INMAA1),MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,VIETNAM,PHENIKAA HUE MINERAL PROCESSING & INVESTMENT ONE MEMBER COMPANY LIMITED,DA NANG,MTS,520.0,130191.0,0.25,130.0,True,,MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,,28.95,Others,mts,PHENIKAA HUE MINERAL PROCESSING INVESTMENT ONE MEMBER COMPANY LIMITED,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.3363,130.0,0.999001467075297,Unknown
